,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"17,482","6,690","23,083","19,577","20,857","23,371","23,142","26,927","28,041","26,934","28,497","17,300","24,191"
Expenses +,"17,228","6,386","22,815","19,787","21,215","23,045","23,557","26,663","27,766","26,623","28,807","16,852","23,814"
Operating Profit,253,304,268,-210,-358,326,-415,264,275,311,-310,448,377
OPM %,1%,5%,1%,-1%,-2%,1%,-2%,1%,1%,1%,-1%,3%,2%
Other Income +,374,74,87,394,882,114,136,103,174,90,279,-29,124
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,628,378,355,184,525,440,-279,367,450,401,-30,419,500
Tax %,19%,4%,7%,-72%,31%,5%,-235%,-0%,8%,-20%,"-1,541%",-1%,5%
Net Profit +,506,361,329,316,362,417,378,368,412,479,435,421,475
EPS in Rs,2.40,1.71,1.53,1.47,1.68,1.94,1.76,1.71,1.91,2.23,2.02,1.96,2.21
Raw PDF,,,,,,,,,,,,,
