,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,831,732,881,911,"1,004",737,882,829,"1,019",699,816,853,860
Expenses +,753,676,813,825,896,661,798,731,888,607,730,780,786
Operating Profit,78,56,68,86,108,75,84,98,131,92,86,73,74
OPM %,9%,8%,8%,9%,11%,10%,10%,12%,13%,13%,11%,9%,9%
Other Income +,7,5,6,8,16,12,11,9,11,40,14,14,12
Interest,1,1,1,1,2,1,1,4,4,5,5,4,5
Depreciation,7,6,7,7,9,9,9,11,15,20,21,23,22
Profit before tax,78,54,66,86,113,78,85,92,123,107,74,59,58
Tax %,26%,24%,27%,27%,22%,24%,26%,23%,25%,21%,28%,30%,32%
Net Profit +,58,41,48,62,88,59,62,70,92,84,54,41,40
EPS in Rs,3.14,2.25,2.62,3.39,4.80,3.19,3.39,3.83,5.00,4.58,2.93,2.24,2.17
Raw PDF,,,,,,,,,,,,,
