,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,356,591,515,526,451,636,546,546,516,639,544,501,494
Expenses +,323,488,443,453,386,556,493,494,508,590,546,472,488
Operating Profit,33,103,72,73,64,81,53,52,8,49,-2,29,6
OPM %,9%,17%,14%,14%,14%,13%,10%,10%,2%,8%,-0%,6%,1%
Other Income +,6,22,5,3,-43,28,3,3,4,2,6,2,8
Interest,5,7,7,7,8,11,12,15,17,18,20,18,17
Depreciation,17,18,18,18,20,21,24,27,28,29,30,30,30
Profit before tax,16,100,52,51,-6,77,19,13,-33,4,-46,-17,-33
Tax %,23%,31%,16%,13%,-34%,25%,31%,46%,-28%,-9%,-28%,-26%,-16%
Net Profit +,12,69,43,44,-4,58,13,7,-24,4,-33,-12,-27
EPS in Rs,0.88,4.88,3.07,3.11,-0.30,4.08,0.94,0.50,-1.68,0.28,-2.33,-0.87,-1.93
Raw PDF,,,,,,,,,,,,,
