,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,16,16,17,17,17,17,17,18,30,30,30,30
Reserves,"1,594","2,010","2,108","3,127","3,843","4,876","5,387","7,286","14,258","16,562","19,988","22,669"
Borrowings +,110,218,55,-0,-0,-0,912,798,258,"1,541","2,071","2,187"
Other Liabilities +,945,734,958,"1,273","1,477","1,770","2,499","2,604","6,027","5,348","5,456","5,712"
Total Liabilities,"2,666","2,978","3,137","4,417","5,337","6,664","8,815","10,706","20,572","23,481","27,544","30,598"
Fixed Assets +,649,683,638,542,681,930,"1,920","1,906","3,473","3,679","4,981","5,285"
CWIP,57,25,20,1,7,12,59,66,503,902,551,681
Investments,169,104,43,941,"1,264","1,740","2,219","3,730","6,048","5,458","8,744","9,845"
Other Assets +,"1,791","2,166","2,437","2,934","3,385","3,982","4,617","5,004","10,548","13,442","13,269","14,787"
Total Assets,"2,666","2,978","3,137","4,417","5,337","6,664","8,815","10,706","20,572","23,481","27,544","30,598"
