,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,396,396,396,396,316,316,306,306,293,293,293,293,293
Reserves,"27,122","29,550","31,870","28,784","22,266","24,101","25,738","27,367","29,591","17,725","22,328","25,363","28,076"
Borrowings +,0,0,0,"1,497",0,500,364,566,"2,000","1,800","2,128","3,359","4,158"
Other Liabilities +,"3,277","1,497","2,197","2,079","3,201","3,774","3,483","3,056","5,045","5,094","5,204","6,646","7,394"
Total Liabilities,"30,796","31,444","34,464","32,756","25,784","28,691","29,891","31,294","36,930","24,912","29,953","35,661","39,920"
Fixed Assets +,"1,267","1,366","1,468","2,058","2,095","3,457","3,512","3,810","3,933","3,662","3,199","3,377","5,056"
CWIP,"3,247","5,297","7,801","9,747","11,855","12,545","13,819","15,530","17,158","1,333","1,998","3,235","3,760"
Investments,261,219,319,592,612,673,859,910,875,895,940,956,964
Other Assets +,"26,021","24,561","24,876","20,359","11,221","12,016","11,701","11,045","14,964","19,022","23,816","28,094","30,140"
Total Assets,"30,796","31,444","34,464","32,756","25,784","28,691","29,891","31,294","36,930","24,912","29,953","35,661","39,920"
