,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,340","1,410","1,402","1,403","1,448","1,411","1,422","1,367","1,466","1,498","1,486","1,441","1,531"
Expenses +,"1,148","1,185","1,197","1,207","1,221","1,184","1,191","1,166","1,238","1,251","1,241","1,213","1,306"
Operating Profit,192,226,205,196,227,226,231,201,228,247,245,228,225
OPM %,14%,16%,15%,14%,16%,16%,16%,15%,16%,16%,16%,16%,15%
Other Income +,10,12,10,20,4,5,7,31,11,5,13,3,7
Interest,8,9,8,10,13,10,7,7,8,7,9,8,10
Depreciation,50,49,49,50,50,52,54,54,53,54,56,56,58
Profit before tax,144,180,157,156,168,169,176,172,178,192,193,166,164
Tax %,25%,23%,26%,25%,24%,24%,24%,25%,25%,26%,26%,21%,24%
Net Profit +,107,138,117,118,127,129,133,129,134,143,144,131,124
EPS in Rs,5.07,6.47,5.49,5.57,6.01,6.07,6.28,6.12,6.36,6.75,6.78,6.20,5.92
Raw PDF,,,,,,,,,,,,,
