,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,0,684,"4,949","4,773","4,136","4,178"
Expenses +,0,567,"4,108","4,224","3,708","3,659"
Operating Profit,-0,117,841,549,427,519
OPM %,,17%,17%,11%,10%,12%
Other Income +,0,-10,22,32,29,38
Interest,0,7,31,22,53,56
Depreciation,0,22,123,122,136,158
Profit before tax,-0,77,709,437,268,344
Tax %,0%,30%,33%,30%,32%,27%
Net Profit +,-0,54,477,308,183,251
EPS in Rs,-3.40,3.41,29.93,19.31,11.48,15.77
Dividend Payout %,0%,10%,17%,26%,43%,31%
