,Mar 2016,Mar 2017,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,508","1,573","4,203","4,879","5,693"
Expenses +,"1,261","1,323","3,606","4,175","4,867"
Operating Profit,246,249,597,704,826
OPM %,16%,16%,14%,14%,15%
Other Income +,21,30,30,28,33
Interest,63,66,99,124,155
Depreciation,51,56,155,168,169
Profit before tax,153,158,374,441,535
Tax %,37%,33%,27%,25%,27%
Net Profit +,96,106,274,331,391
EPS in Rs,12.70,13.95,36.26,43.71,51.70
Dividend Payout %,16%,14%,10%,9%,8%
