,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,828,901,865,909,956,920,889,958,973,956,907,945,"1,006"
Expenses +,737,769,767,867,908,851,829,873,941,908,873,924,957
Operating Profit,91,132,98,42,47,69,60,86,32,47,34,22,48
OPM %,11%,15%,11%,5%,5%,8%,7%,9%,3%,5%,4%,2%,5%
Other Income +,6,5,10,11,14,17,14,23,24,17,26,6,6
Interest,6,8,10,11,7,9,9,10,10,7,8,7,6
Depreciation,6,5,5,5,6,5,5,7,7,6,6,6,6
Profit before tax,86,124,93,37,49,73,60,92,39,51,46,15,42
Tax %,27%,27%,25%,22%,26%,24%,21%,27%,21%,22%,33%,17%,31%
Net Profit +,63,91,70,29,36,56,47,67,31,40,31,12,29
EPS in Rs,9.12,13.14,10.10,4.15,5.27,8.05,6.80,9.75,4.46,5.77,4.49,1.81,4.23
Raw PDF,,,,,,,,,,,,,
