,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,266,285,285,285,293,294,294,294,294,294,294,294
Reserves,"3,723","4,227","4,979","6,108","7,128","8,452","7,495","7,568","7,010","8,258","8,711","11,938"
Borrowings +,"8,500","9,070","11,054","13,168","15,791","19,168","22,417","24,077","24,145","31,161","40,802","49,962"
Other Liabilities +,"5,035","6,011","5,806","7,048","10,171","11,212","7,924","10,119","12,125","14,984","17,788","19,520"
Total Liabilities,"17,524","19,592","22,123","26,609","33,383","39,126","38,130","42,058","43,574","54,697","67,595","81,715"
Fixed Assets +,"7,573","6,529","5,890","6,591","6,596","6,695","8,031","8,484","7,895","8,146","8,157","9,055"
CWIP,297,216,87,244,439,678,574,336,240,268,415,359
Investments,"1,165","1,499","1,031","1,933","4,383","1,492",960,"1,096","2,652","4,852","2,329","6,610"
Other Assets +,"8,491","11,348","15,115","17,841","21,965","30,261","28,565","32,143","32,787","41,430","56,695","65,691"
Total Assets,"17,524","19,592","22,123","26,609","33,383","39,126","38,130","42,058","43,574","54,697","67,595","81,715"
