,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,639,706,720,781,792,812,802,818,870,894,864,920,953
Expenses +,550,622,639,691,705,719,702,707,752,781,757,798,824
Operating Profit,89,85,80,90,88,93,100,110,117,113,107,123,129
OPM %,14%,12%,11%,12%,11%,11%,13%,14%,13%,13%,12%,13%,14%
Other Income +,12,9,10,14,14,14,17,17,20,18,24,34,23
Interest,5,10,10,10,7,4,7,8,6,5,7,15,10
Depreciation,9,9,10,10,11,11,11,13,16,13,13,13,16
Profit before tax,86,74,70,84,84,92,99,107,115,114,111,129,125
Tax %,26%,26%,25%,26%,26%,26%,26%,26%,24%,26%,26%,25%,26%
Net Profit +,63,55,52,63,62,68,74,79,87,84,83,97,93
EPS in Rs,12.57,11.27,10.66,12.78,12.68,13.87,15.00,16.32,17.54,17.49,17.00,19.86,18.70
Raw PDF,,,,,,,,,,,,,
