,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,694,"1,010",308,518,548,567,280,300,772,996,396,432,933
Expenses +,655,997,362,520,524,603,324,303,690,939,423,422,841
Operating Profit,40,14,-54,-2,23,-36,-44,-3,81,57,-27,10,92
OPM %,6%,1%,-17%,-0%,4%,-6%,-16%,-1%,11%,6%,-7%,2%,10%
Other Income +,2,4,4,-12,-0,3,-10,-11,1,11,7,4,4
Interest,2,2,1,2,3,5,5,5,2,1,1,1,1
Depreciation,18,18,19,20,19,16,16,17,16,17,19,17,18
Profit before tax,21,-3,-70,-35,2,-54,-75,-35,65,49,-39,-4,76
Tax %,27%,-24%,-24%,-25%,149%,-24%,-24%,-23%,25%,26%,-24%,-9%,26%
Net Profit +,16,-2,-53,-26,-1,-41,-56,-27,49,36,-30,-3,56
EPS in Rs,5.77,-0.72,-19.47,-9.62,-0.39,-15.09,-20.74,-9.97,17.95,13.29,-11.05,-1.23,20.62
Raw PDF,,,,,,,,,,,,,
