,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,990","5,536","4,312","3,998","4,270","4,108","4,265","4,389","4,532","4,727","3,992","4,360","4,291"
Expenses +,"4,000","4,563","3,329","3,149","3,433","3,394","3,351","3,608","3,570","3,905","3,304","3,808","3,723"
Operating Profit,990,974,983,849,837,715,914,781,962,822,688,553,567
OPM %,20%,18%,23%,21%,20%,17%,21%,18%,21%,17%,17%,13%,13%
Other Income +,11,54,24,42,45,40,55,56,114,69,76,96,109
Interest,24,21,20,15,6,8,14,8,8,8,8,10,11
Depreciation,151,151,155,158,157,161,165,168,169,171,179,179,179
Profit before tax,826,855,833,718,719,586,789,661,899,712,577,460,486
Tax %,23%,24%,25%,26%,24%,26%,25%,25%,26%,26%,27%,27%,27%
Net Profit +,639,648,621,530,543,434,590,496,663,527,423,335,352
EPS in Rs,7.72,8.39,7.73,6.37,6.61,5.94,8.06,7.00,8.42,6.65,4.99,4.15,3.90
Raw PDF,,,,,,,,,,,,,
