,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,543,605,598,602,712,614,655,635,800,653,671,678,779
Expenses +,455,505,482,511,547,530,520,530,613,548,548,533,574
Operating Profit,88,100,116,91,165,84,136,105,187,105,123,146,204
OPM %,16%,16%,19%,15%,23%,14%,21%,17%,23%,16%,18%,21%,26%
Other Income +,40,32,29,23,24,38,17,32,30,33,35,32,28
Interest,27,23,23,40,33,32,33,45,22,35,38,37,38
Depreciation,70,69,70,72,79,81,84,86,86,89,92,93,92
Profit before tax,32,40,53,1,77,9,35,6,109,14,28,48,102
Tax %,50%,25%,21%,"1,130%",27%,90%,39%,-67%,24%,57%,59%,26%,29%
Net Profit +,16,30,41,-14,56,1,21,11,83,6,11,35,73
EPS in Rs,0.81,1.48,2.03,-0.59,2.80,0.01,1.06,0.58,4.08,0.29,0.68,1.72,3.62
Raw PDF,,,,,,,,,,,,,
