,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,548,584,653,675,743,731,787,782,884,891,922,868,865
Expenses +,415,447,492,499,543,529,567,549,637,642,670,634,633
Operating Profit,133,138,161,176,200,203,220,233,247,249,252,234,231
OPM %,24%,24%,25%,26%,27%,28%,28%,30%,28%,28%,27%,27%,27%
Other Income +,16,6,7,13,3,3,4,-0,9,9,13,41,53
Interest,3,3,4,5,5,5,6,7,7,9,11,6,5
Depreciation,37,40,43,47,48,51,53,56,60,61,63,67,65
Profit before tax,109,101,121,137,150,150,164,169,189,189,192,203,215
Tax %,4%,25%,24%,22%,20%,25%,24%,21%,21%,25%,25%,26%,24%
Net Profit +,105,76,93,107,120,112,124,134,148,142,144,151,164
EPS in Rs,1.79,1.30,1.58,1.83,2.05,1.91,2.12,2.26,2.54,2.42,2.32,2.43,2.64
Raw PDF,,,,,,,,,,,,,
