,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,521,297,551,555,580,563,529,587
Expenses +,493,273,558,540,571,547,492,556
Operating Profit,28,24,-7,15,10,16,38,31
OPM %,5%,8%,-1%,3%,2%,3%,7%,5%
Other Income +,-3,3,22,7,5,-0,-4,221
Interest,21,11,24,22,26,26,27,24
Depreciation,37,21,43,39,38,40,45,49
Profit before tax,-33,-6,-53,-39,-50,-51,-39,179
Tax %,8%,75%,19%,22%,12%,6%,13%,20%
Net Profit +,-36,-10,-63,-47,-56,-54,-44,144
EPS in Rs,,,,,,,-20.03,65.11
Raw PDF,,,,,,,,
