,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,574,"1,111","1,768","2,441","3,774","5,144","6,386","7,556"
Expenses +,601,"1,091","1,685","2,283","3,610","4,887","6,039","7,122"
Operating Profit,-27,21,83,158,164,257,347,434
OPM %,-5%,2%,5%,6%,4%,5%,5%,6%
Other Income +,4,5,10,12,27,30,30,25
Interest,7,27,46,32,47,76,84,99
Depreciation,7,31,60,72,96,173,224,253
Profit before tax,-37,-32,-12,66,47,38,69,107
Tax %,-25%,-23%,31%,7%,13%,35%,37%,
Net Profit +,-28,-25,-16,62,41,21,40,62
EPS in Rs,-3.47,-2.87,-1.90,6.82,0.14,0.07,0.11,0.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
